CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 28.046875 1683396897.8181
MEM 28.078125 1683396897.9231
MEM 28.093750 1683396898.0282
MEM 28.109375 1683396898.1333
MEM 28.125000 1683396898.2383
MEM 28.171875 1683396898.3433
MEM 28.203125 1683396898.4484
MEM 28.250000 1683396898.5534
MEM 28.281250 1683396898.6585
MEM 28.296875 1683396898.7635
MEM 28.312500 1683396898.8686
MEM 28.343750 1683396898.9730
MEM 28.359375 1683396899.0780
MEM 28.375000 1683396899.1831
MEM 28.390625 1683396899.2881
MEM 28.421875 1683396899.3932
MEM 28.453125 1683396899.4982
MEM 28.468750 1683396899.6033
MEM 28.500000 1683396899.7083
MEM 28.531250 1683396899.8134
MEM 28.546875 1683396899.9185
MEM 28.593750 1683396900.0235
MEM 28.609375 1683396900.1286
MEM 28.625000 1683396900.2336
MEM 28.640625 1683396900.3343
MEM 28.687500 1683396900.4393
MEM 28.703125 1683396900.5444
MEM 28.718750 1683396900.6494
MEM 28.750000 1683396900.7544
MEM 28.765625 1683396900.8567
MEM 28.796875 1683396900.9618
MEM 28.843750 1683396901.0669
MEM 28.859375 1683396901.1701
MEM 28.875000 1683396901.2705
MEM 28.906250 1683396901.3754
MEM 28.953125 1683396901.4804
MEM 28.968750 1683396901.5855
MEM 28.984375 1683396901.6905
MEM 29.015625 1683396901.7956
MEM 29.031250 1683396901.9006
MEM 29.046875 1683396902.0057
MEM 29.078125 1683396902.1108
MEM 29.109375 1683396902.2159
MEM 29.140625 1683396902.3210
MEM 29.187500 1683396902.4261
MEM 29.203125 1683396902.5265
MEM 29.218750 1683396902.6315
MEM 29.250000 1683396902.7366
MEM 29.265625 1683396902.8416
MEM 29.281250 1683396902.9467
MEM 29.296875 1683396903.0517
MEM 29.343750 1683396903.1568
MEM 29.359375 1683396903.2619
MEM 29.375000 1683396903.3670
MEM 29.453125 1683396903.4720
MEM 29.468750 1683396903.5771
MEM 29.484375 1683396903.6821
MEM 29.515625 1683396903.7872
MEM 29.531250 1683396903.8923
MEM 29.562500 1683396903.9973
MEM 29.593750 1683396904.1007
MEM 29.625000 1683396904.2058
MEM 29.640625 1683396904.3109
MEM 29.671875 1683396904.4159
MEM 29.687500 1683396904.5209
MEM 29.703125 1683396904.6260
MEM 29.750000 1683396904.7266
MEM 29.781250 1683396904.8313
MEM 29.812500 1683396904.9365
MEM 29.843750 1683396905.0416
MEM 29.859375 1683396905.1467
MEM 29.875000 1683396905.2517
MEM 29.906250 1683396905.3568
MEM 29.921875 1683396905.4618
MEM 29.953125 1683396905.5669
MEM 29.984375 1683396905.6693
MEM 30.031250 1683396905.7744
MEM 30.062500 1683396905.8795
MEM 30.078125 1683396905.9845
MEM 30.109375 1683396906.0895
MEM 30.140625 1683396906.1934
MEM 30.156250 1683396906.2985
MEM 30.187500 1683396906.4035
MEM 30.218750 1683396906.5086
MEM 30.234375 1683396906.6118
MEM 30.265625 1683396906.7169
MEM 30.296875 1683396906.8219
MEM 30.312500 1683396906.9270
MEM 30.359375 1683396907.0321
MEM 30.375000 1683396907.1358
MEM 30.390625 1683396907.2409
MEM 30.453125 1683396907.3460
MEM 30.468750 1683396907.4510
MEM 30.484375 1683396907.5561
MEM 30.515625 1683396907.6612
MEM 30.531250 1683396907.7625
MEM 30.578125 1683396907.8675
MEM 30.593750 1683396907.9726
MEM 30.625000 1683396908.0777
MEM 30.687500 1683396908.1827
MEM 30.718750 1683396908.2878
MEM 30.734375 1683396908.3928
MEM 30.765625 1683396908.4979
MEM 30.781250 1683396908.6030
MEM 30.796875 1683396908.7079
MEM 30.843750 1683396908.8129
MEM 30.875000 1683396908.9180
MEM 30.890625 1683396909.0231
MEM 30.921875 1683396909.1281
MEM 30.968750 1683396909.2331
MEM 30.984375 1683396909.3382
MEM 31.015625 1683396909.4430
MEM 31.031250 1683396909.5482
MEM 31.062500 1683396909.6532
MEM 31.109375 1683396909.7582
MEM 31.125000 1683396909.8633
MEM 31.140625 1683396909.9683
MEM 31.187500 1683396910.0735
MEM 31.203125 1683396910.1786
MEM 31.250000 1683396910.2835
MEM 31.281250 1683396910.3839
MEM 31.328125 1683396910.4890
MEM 31.359375 1683396910.5943
MEM 31.375000 1683396910.6951
MEM 31.390625 1683396910.8000
MEM 31.437500 1683396910.9050
MEM 31.453125 1683396911.0101
MEM 31.468750 1683396911.1151
MEM 31.500000 1683396911.2202
MEM 31.546875 1683396911.3253
MEM 31.578125 1683396911.4304
MEM 31.609375 1683396911.5355
MEM 31.640625 1683396911.6406
MEM 31.671875 1683396911.7456
MEM 31.687500 1683396911.8470
MEM 31.718750 1683396911.9520
MEM 31.765625 1683396912.0571
MEM 31.781250 1683396912.1622
MEM 31.812500 1683396912.2672
MEM 31.859375 1683396912.3723
MEM 31.890625 1683396912.4773
MEM 31.937500 1683396912.5806
MEM 31.953125 1683396912.6867
MEM 31.984375 1683396912.7917
MEM 32.015625 1683396912.8967
MEM 32.046875 1683396913.0018
MEM 32.062500 1683396913.1069
MEM 32.109375 1683396913.2120
MEM 32.125000 1683396913.3170
MEM 32.171875 1683396913.4221
MEM 32.218750 1683396913.5271
MEM 32.234375 1683396913.6322
MEM 32.265625 1683396913.7372
MEM 32.296875 1683396913.8423
MEM 32.312500 1683396913.9474
MEM 32.359375 1683396914.0524
MEM 32.375000 1683396914.1575
MEM 32.421875 1683396914.2587
MEM 32.468750 1683396914.3611
MEM 32.500000 1683396914.4661
MEM 32.531250 1683396914.5712
MEM 32.562500 1683396914.6763
MEM 32.593750 1683396914.7814
MEM 32.640625 1683396914.8864
MEM 32.656250 1683396914.9915
MEM 32.687500 1683396915.0966
MEM 32.718750 1683396915.2017
MEM 32.750000 1683396915.3067
MEM 32.796875 1683396915.4084
MEM 32.812500 1683396915.5134
MEM 32.859375 1683396915.6185
MEM 32.890625 1683396915.7236
MEM 32.921875 1683396915.8276
MEM 32.953125 1683396915.9327
MEM 32.968750 1683396916.0377
MEM 33.015625 1683396916.1428
MEM 33.031250 1683396916.2479
MEM 33.125000 1683396916.3530
MEM 33.140625 1683396916.4580
MEM 33.156250 1683396916.5631
MEM 33.203125 1683396916.6682
MEM 33.218750 1683396916.7732
MEM 33.265625 1683396916.8733
MEM 33.296875 1683396916.9739
MEM 33.328125 1683396917.0790
MEM 33.359375 1683396917.1840
MEM 33.406250 1683396917.2891
MEM 33.437500 1683396917.3918
MEM 33.468750 1683396917.4968
MEM 33.515625 1683396917.6018
MEM 33.546875 1683396917.7069
MEM 33.562500 1683396917.8120
MEM 33.609375 1683396917.9170
MEM 33.625000 1683396918.0220
MEM 33.687500 1683396918.1271
MEM 33.734375 1683396918.2306
MEM 33.781250 1683396918.3357
MEM 33.796875 1683396918.4407
MEM 33.828125 1683396918.5458
MEM 33.859375 1683396918.6459
MEM 33.890625 1683396918.7490
MEM 33.921875 1683396918.8541
MEM 33.968750 1683396918.9569
MEM 34.015625 1683396919.0601
MEM 34.046875 1683396919.1653
MEM 34.078125 1683396919.2701
MEM 34.109375 1683396919.3752
MEM 34.140625 1683396919.4802
MEM 34.187500 1683396919.5853
MEM 34.218750 1683396919.6872
MEM 34.250000 1683396919.7873
MEM 34.312500 1683396919.8924
MEM 34.359375 1683396919.9975
MEM 34.390625 1683396920.1025
MEM 34.421875 1683396920.2076
MEM 34.453125 1683396920.3126
MEM 34.484375 1683396920.4176
MEM 34.531250 1683396920.5227
MEM 34.546875 1683396920.6277
MEM 34.625000 1683396920.7328
MEM 34.656250 1683396920.8347
MEM 34.687500 1683396920.9398
MEM 34.718750 1683396921.0449
MEM 34.765625 1683396921.1499
MEM 34.781250 1683396921.2550
MEM 34.843750 1683396921.3554
MEM 34.875000 1683396921.4606
MEM 34.921875 1683396921.5634
MEM 34.968750 1683396921.6685
MEM 35.000000 1683396921.7736
MEM 35.046875 1683396921.8758
MEM 35.078125 1683396921.9809
MEM 35.125000 1683396922.0860
MEM 35.156250 1683396922.1910
MEM 35.187500 1683396922.2961
MEM 35.234375 1683396922.4012
MEM 35.296875 1683396922.5064
MEM 35.328125 1683396922.6115
MEM 35.359375 1683396922.7166
MEM 35.390625 1683396922.8216
MEM 35.437500 1683396922.9268
MEM 35.484375 1683396923.0318
